food,calories,protein,fat,carbs,fiber,sugar
batagor,174,10.4,8.9,16.9,1.3,2.0
bayam,22,2.9,0.4,3.6,2.3,0.4
madu,327,0.3,0.0,88.2,0.2,75.2
popcorn,412,14.0,5.5,84.2,15.3,0.9
jus_jeruk,43,0.8,0.2,9.5,0.2,8.5
sayur_asem,68,2.7,1.6,13.0,2.9,3.7
wortel,38,0.8,0.2,10.7,2.7,5.2
susu,113,8.1,2.6,10.8,0.0,12.6
gado-gado,195,7.8,11.2,13.5,3.8,5.7
hotdog,303,10.8,19.0,20.7,1.1,4.4
sandwich,297,15.5,10.6,37.3,3.3,5.2
semangka,29,0.7,0.2,7.9,0.4,5.5
martabak_telur,278,12.7,17.5,24.6,2.2,2.0
klepon,169,2.1,4.4,29.2,1.4,14.0
teh,1,0.0,0.0,0.3,0.0,0.0
kentang,83,2.0,0.1,17.4,2.2,0.9
siomay,166,8.2,6.4,14.0,1.6,2.1
strawberry,34,0.7,0.3,7.3,2.2,4.6
daging_sapi,275,27.3,13.6,0.0,0.0,0.0
susu_kedelai,52,3.5,1.8,5.4,0.6,4.0
mangga,57,0.8,0.4,16.3,1.6,15.1
perkedel,168,5.0,8.9,16.7,2.2,1.0
capcay,79,4.2,2.8,12.0,3.1,4.7
onde-onde,230,3.9,8.6,40.3,1.8,19.6
brokoli,50,3.9,0.6,10.8,4.1,1.6
sayur_asem,60,2.7,1.6,11.2,3.2,4.2
martabak_manis,392,7.5,19.0,46.1,1.6,28.2
sate_ayam,183,28.3,7.9,2.9,0.3,1.9
brokoli,57,4.0,0.6,11.1,3.5,1.6
susu_kedelai,55,3.2,2.0,5.5,0.5,4.1
batagor,188,10.4,9.6,16.3,1.1,2.0
yogurt,64,3.6,0.4,10.3,0.0,11.3
udang,96,24.4,0.3,0.2,0.0,0.0
rendang,425,21.6,40.8,5.2,1.1,1.8
strawberry,31,0.7,0.3,8.1,2.0,5.1
siomay,159,8.9,6.8,14.8,1.4,1.9
madu,303,0.3,0.0,84.6,0.2,84.2
keju,404,24.6,31.6,1.2,0.0,0.5
bakso,193,19.1,11.2,8.0,0.5,2.1
mangga,55,0.9,0.4,13.7,1.5,14.0
pizza,260,10.3,9.5,35.3,2.5,3.5
pepaya,42,0.5,0.3,11.3,1.8,7.5
susu,101,7.3,2.5,10.9,0.0,11.6
es_krim,210,3.8,10.5,23.4,0.7,23.0
nasi_merah,123,2.1,0.8,25.7,2.0,0.3
kentang_goreng,324,3.5,15.9,37.6,3.8,0.3
melon,31,0.8,0.2,8.5,0.8,7.9
jeruk,44,0.8,0.1,11.6,2.5,9.4
nasi_merah,102,2.4,0.8,25.4,1.7,0.3
jagung,95,3.7,1.4,21.2,2.3,4.9
sawi,13,1.4,0.2,2.1,1.0,1.2
roti_tawar,264,9.3,3.2,46.1,2.6,5.4
susu,106,8.2,2.2,11.4,0.0,13.0
gado-gado,199,8.1,10.9,15.2,4.3,5.5
lemper,178,4.9,6.3,27.7,1.2,1.0
anggur,65,0.7,0.2,19.6,0.9,15.5
lumpia,195,5.8,8.7,20.9,2.2,2.9
kue_kering,498,5.7,24.9,68.6,2.1,26.8
onde-onde,259,3.9,8.3,40.0,2.1,18.1
tahu_goreng,139,11.6,9.7,4.8,2.3,0.8
pempek,207,12.1,8.1,27.5,1.0,2.8
ikan_bakar,176,25.6,6.5,0.0,0.0,0.0
sawi,12,1.6,0.2,2.2,1.1,1.3
lemper,180,4.6,6.8,26.2,1.2,1.1
brokoli,58,3.7,0.6,10.8,3.8,1.8
mie_ayam,294,11.6,8.1,42.7,1.8,2.9
timun,17,0.7,0.1,3.3,0.5,1.7
strawberry,29,0.7,0.3,7.5,1.9,4.9
kue_kering,476,6.3,21.9,62.7,2.0,26.6
kroket,211,6.3,11.2,19.9,1.7,1.5
nasi_goreng,341,8.7,11.4,46.0,2.0,2.8
selai,258,0.4,0.1,70.7,1.0,49.6
sandwich,315,16.0,11.9,33.4,2.9,4.7
pizza,288,10.5,10.3,31.2,2.3,3.7
brokoli,50,3.4,0.7,10.0,3.9,1.8
udang,108,25.1,0.3,0.2,0.0,0.0
donat,475,5.2,23.3,50.7,1.5,24.8
tomat,18,1.0,0.2,3.7,1.3,2.7
sandwich,275,15.0,10.3,34.3,2.9,5.3
coklat,556,4.8,30.5,61.3,7.6,46.4
nasi_merah,112,2.1,0.8,23.8,1.8,0.3
jagung,94,3.7,1.4,22.8,2.5,5.3
martabak_telur,316,15.2,16.4,22.8,1.8,2.0
teh,1,0.0,0.0,0.3,0.0,0.0
kangkung,19,2.7,0.3,3.1,2.2,0.5
wortel,44,0.9,0.2,9.0,2.9,4.8
alpukat,173,1.9,14.7,8.2,7.4,0.7
soto_ayam,160,13.8,6.1,13.8,1.3,1.8
kopi,2,0.3,0.0,0.0,0.0,0.0
perkedel,164,5.1,9.8,16.1,2.0,1.0
jeruk,49,1.0,0.1,11.4,2.2,9.0
mangga,63,0.8,0.4,15.9,1.7,14.0
udang,105,24.4,0.3,0.2,0.0,0.0
pastel,289,6.6,13.5,24.6,2.1,1.8
puding,124,3.2,2.7,23.4,0.5,21.8
sambal_goreng,144,6.2,9.5,9.2,2.2,3.0
mangga,63,0.8,0.4,15.6,1.7,14.2
risoles,214,8.4,12.8,21.5,1.4,1.8
ayam_panggang,150,34.0,3.4,0.0,0.0,0.0
keripik,530,5.9,31.8,46.2,4.3,1.0
timun,17,0.7,0.1,3.9,0.5,1.8
minuman_bersoda,40,0.0,0.0,11.3,0.0,10.4
telur_rebus,158,13.1,11.8,1.0,0.0,0.6
madu,290,0.3,0.0,77.8,0.2,80.4
daging_sapi,252,24.2,14.4,0.0,0.0,0.0
udang,92,23.6,0.3,0.2,0.0,0.0
roti_gandum,248,14.3,3.3,37.0,7.3,3.6
kacang_tanah,623,26.4,53.5,17.3,9.7,4.0
martabak_manis,407,8.0,17.8,48.0,1.4,29.5
batagor,187,10.3,8.4,18.2,1.2,2.1
kroket,197,6.9,10.0,17.6,1.9,1.6
susu_kedelai,49,3.6,1.8,5.5,0.5,4.0
lemper,172,5.0,7.4,29.2,1.2,0.9
telur_rebus,160,14.3,11.2,1.0,0.0,0.6
daging_sapi,267,27.9,14.6,0.0,0.0,0.0
nasi_putih,131,2.9,0.3,27.2,0.4,0.1
kepiting,98,21.2,1.4,0.0,0.0,0.0
sambal_goreng,143,6.5,9.0,8.1,2.1,3.1
telur_rebus,160,13.5,10.1,1.1,0.0,0.6
sawi,14,1.5,0.2,2.1,0.9,1.1
opor_ayam,291,22.6,22.6,6.3,0.9,2.2
sandwich,282,14.0,10.1,38.8,2.9,5.4
sayur_asem,68,2.5,1.5,12.0,2.9,4.1
kentang,72,1.9,0.1,17.6,2.2,0.8
sawi,13,1.5,0.2,2.4,1.0,1.2
perkedel,164,4.8,9.4,18.4,2.0,1.0
puding,127,3.1,2.5,25.3,0.5,20.0
donat,416,5.1,24.2,53.7,1.5,27.1
pastel,248,7.2,14.4,25.8,2.2,1.8
pastel,269,7.1,13.5,28.5,2.0,2.1
hotdog,303,9.3,17.0,22.0,1.0,3.8
mie_ayam,280,11.6,8.0,43.4,2.0,2.8
susu,100,7.9,2.5,12.7,0.0,13.1
kentang_goreng,285,3.4,13.9,43.5,4.0,0.3
hotdog,300,10.1,16.4,20.5,1.0,4.3
daging_sapi,273,27.8,13.8,0.0,0.0,0.0
telur_rebus,168,12.3,10.4,1.0,0.0,0.6
tahu_goreng,138,12.0,8.9,5.0,2.5,0.8
udang,106,26.3,0.3,0.2,0.0,0.0
nugget,304,12.8,17.1,21.9,1.3,1.5
nasi_merah,122,2.3,0.9,24.7,1.7,0.3
strawberry,30,0.8,0.3,7.5,2.0,5.3
wortel,44,1.0,0.2,9.4,2.9,5.1
daging_kambing,213,27.4,11.9,0.0,0.0,0.0
tumis_kangkung,61,3.1,2.7,6.4,2.3,1.1
melon,31,0.8,0.2,7.4,0.8,7.3
gula_pasir,380,0.0,0.0,98.8,0.0,103.4
ubi_jalar,88,1.6,0.1,19.7,2.7,4.2
strawberry,33,0.7,0.3,8.4,2.0,4.8
coklat,562,4.7,31.5,59.5,6.9,49.7
madu,301,0.3,0.0,77.7,0.2,77.4
sayur_lodeh,120,3.9,8.1,10.9,2.3,3.0
nasi_putih,133,2.8,0.3,27.5,0.4,0.1
rendang,425,22.6,37.9,5.2,1.0,2.1
mie_ayam,317,11.8,8.0,45.4,1.9,3.2
martabak_telur,317,13.0,15.3,23.4,2.1,1.8
roti_gandum,250,11.9,3.1,42.1,6.7,4.1
ikan_tuna,150,20.9,5.1,0.0,0.0,0.0
jus_jeruk,45,0.6,0.2,9.8,0.2,8.2
pastel,253,7.3,15.7,26.8,1.8,2.0
roti_gandum,235,12.7,3.1,41.3,7.2,4.3
lemper,198,4.7,6.7,26.5,1.2,1.0
siomay,159,8.6,7.1,16.1,1.5,2.1
sayur_asem,70,2.4,1.5,12.3,2.8,4.1
kacang_merah,366,21.3,1.0,58.6,14.8,2.2
martabak_manis,393,7.6,16.5,49.6,1.6,27.7
coklat,494,4.7,32.5,62.9,7.4,48.5
sayur_lodeh,122,4.3,8.4,12.0,2.6,2.8
pecel_lele,266,18.6,18.2,12.0,1.9,1.6
susu,96,8.3,2.4,11.2,0.0,12.2
edamame,116,10.3,4.7,10.0,5.4,1.9
timun,16,0.6,0.1,3.7,0.5,1.6
ubi_jalar,91,1.7,0.1,19.5,3.1,3.7
ayam_panggang,177,29.3,3.8,0.0,0.0,0.0
kacang_tanah,570,25.2,47.5,16.6,9.9,3.8
wortel,38,0.9,0.2,9.2,2.9,5.1
mie_instan,405,10.5,13.2,51.0,2.5,3.1
daging_kambing,237,24.7,12.9,0.0,0.0,0.0
daging_sapi,235,27.3,14.2,0.0,0.0,0.0
lumpia,191,6.4,7.5,20.5,2.0,2.9
bakso,182,18.2,11.3,7.9,0.5,2.0
martabak_telur,308,13.3,17.1,25.7,1.9,1.9
hotdog,296,10.2,17.2,19.8,1.0,3.9
perkedel,161,4.8,9.3,18.5,2.2,1.0
keripik,577,6.7,34.1,52.5,4.9,1.0
burger,290,16.6,13.6,22.8,1.4,4.4
siomay,153,8.4,6.6,15.2,1.4,1.8
nasi_putih,126,2.8,0.3,27.1,0.4,0.1
kentang_goreng,329,3.4,16.3,44.5,4.1,0.3
perkedel,173,5.1,8.5,18.4,2.0,1.0
siomay,151,8.2,7.2,15.3,1.4,2.0
kacang_merah,338,21.7,1.0,64.8,16.4,2.1
kangkung,18,2.8,0.3,3.0,2.1,0.5
coklat,508,5.2,28.4,56.9,6.5,48.1
kroket,183,7.1,11.8,19.4,1.6,1.4
nasi_putih,121,2.7,0.3,29.2,0.4,0.1
udang,101,24.9,0.3,0.2,0.0,0.0
air_kelapa,18,0.8,0.2,3.4,1.2,2.4
anggur,74,0.7,0.2,16.7,0.9,14.6
sandwich,311,15.4,11.2,36.0,3.0,5.2
keju,400,22.9,35.9,1.4,0.0,0.5
bayam,25,3.2,0.4,3.9,2.1,0.4
soto_ayam,160,14.2,5.7,11.7,1.1,2.2
opor_ayam,322,25.2,20.7,5.5,1.1,2.2
es_krim,225,3.3,10.9,25.9,0.7,19.8
susu_kedelai,56,3.6,2.0,6.1,0.7,3.9
jagung,90,3.4,1.5,22.0,2.4,5.5
coklat,528,5.1,28.9,65.9,7.1,51.4
pizza,267,10.9,10.2,29.8,2.3,3.8
nasi_merah,120,2.4,0.9,23.0,1.8,0.3
popcorn,379,13.4,5.0,73.3,14.4,0.9
selai,273,0.4,0.1,71.4,1.1,49.8
alpukat,174,2.0,14.9,8.2,7.2,0.7
bayam,22,3.1,0.4,3.7,2.4,0.4
kacang_tanah,569,27.2,52.7,15.0,9.3,3.7
nugget,315,13.6,18.9,20.8,1.2,1.5
jagung,104,3.4,1.6,22.9,2.6,4.7
edamame,118,10.4,4.6,10.6,5.0,1.8
popcorn,407,13.0,5.3,78.7,14.0,0.8
sawi,12,1.4,0.2,2.3,0.9,1.2
kangkung,18,2.6,0.3,3.1,2.0,0.5
sawi,13,1.5,0.2,2.3,1.1,1.1
sandwich,290,14.7,10.4,36.0,3.2,5.2
udang,97,26.0,0.3,0.2,0.0,0.0
mentega,779,0.9,85.3,0.1,0.0,0.1
kacang_tanah,620,27.6,49.8,17.1,8.4,4.1
ayam_goreng,252,27.0,15.3,0.0,0.0,0.0
kue_kering,496,6.0,24.4,63.7,2.1,29.9
pecel_lele,262,19.5,17.1,12.9,2.0,1.6
jus_jeruk,46,0.8,0.2,10.8,0.2,8.4
kue_lapis,252,4.6,8.2,46.7,1.0,25.0
jus_jeruk,48,0.7,0.2,10.5,0.2,7.2
jeruk,42,1.0,0.1,11.1,2.2,9.8
selai,286,0.4,0.1,69.3,1.0,47.4
kentang_goreng,323,3.6,16.0,39.7,4.2,0.3
kacang_merah,337,23.6,1.0,60.0,15.2,2.0
strawberry,31,0.7,0.3,7.4,1.9,4.7
sambal_goreng,147,6.1,9.4,8.3,2.1,2.9
ikan_tuna,142,24.4,4.9,0.0,0.0,0.0
lemper,192,5.3,7.5,25.6,1.2,1.1
jeruk,51,1.0,0.1,11.0,2.3,9.6
kentang,77,1.9,0.1,17.7,2.1,0.8
sandwich,280,13.8,10.5,37.8,2.8,4.8
timun,15,0.7,0.1,3.6,0.5,1.6
coklat,512,4.6,30.4,61.1,7.0,50.2
martabak_manis,362,8.5,18.8,47.2,1.5,29.5
alpukat,159,2.1,14.0,9.1,6.7,0.8
popcorn,382,12.0,4.9,73.2,14.5,1.0
daging_kambing,237,28.6,14.1,0.0,0.0,0.0
coklat,596,4.9,32.1,65.5,7.3,46.0
strawberry,34,0.8,0.3,7.9,2.1,5.1
siomay,168,9.5,7.5,13.9,1.6,2.0
es_krim,214,3.2,11.2,22.9,0.7,21.4
coklat,551,5.4,31.1,65.5,6.8,43.4
kacang_tanah,608,24.5,53.7,17.2,9.7,3.7
kepiting,102,19.4,1.2,0.0,0.0,0.0
mentega,651,0.8,83.7,0.1,0.0,0.1
mie_ayam,296,12.5,7.2,42.8,2.2,3.3
kacang_tanah,546,26.3,44.1,16.6,9.3,3.8
sambal_goreng,146,6.4,9.6,8.6,1.8,2.8
opor_ayam,328,25.4,20.0,5.9,1.0,2.0
edamame,129,11.5,5.0,9.5,4.6,2.1
sawi,12,1.4,0.2,2.0,0.9,1.2
cumi-cumi,91,17.0,1.4,3.0,0.0,0.0
semangka,29,0.6,0.2,7.8,0.4,5.6
minyak_goreng,968,0.0,93.9,0.0,0.0,0.0
anggur,73,0.7,0.2,19.3,1.0,15.3
jus_apel,43,0.1,0.1,10.2,0.2,10.5
sayur_asem,65,2.5,1.4,11.3,3.1,4.2
nasi_goreng,353,8.4,10.8,51.1,1.9,2.9
sawi,13,1.5,0.2,2.2,0.9,1.3
tempe_goreng,206,19.2,11.7,8.9,4.7,1.5
susu_kedelai,49,3.0,1.9,6.3,0.6,3.8
cumi-cumi,100,15.5,1.4,3.4,0.0,0.0
bayam,24,2.8,0.4,3.9,2.3,0.4
apel,54,0.3,0.2,15.3,2.6,10.0
es_krim,195,3.6,10.0,26.3,0.7,22.2
jeruk,47,0.9,0.1,11.5,2.6,9.0
udang,104,23.1,0.3,0.2,0.0,0.0
klepon,161,2.1,4.1,26.1,1.5,13.6
roti_gandum,225,12.8,3.1,42.7,6.6,3.7
donat,457,4.7,24.8,52.9,1.4,29.1
teh,1,0.0,0.0,0.3,0.0,0.0
ikan_tuna,151,23.5,5.4,0.0,0.0,0.0
nasi_merah,109,2.3,0.8,21.7,1.9,0.3
klepon,161,1.9,3.8,26.6,1.4,13.9
pempek,241,10.9,7.7,29.8,1.1,2.7
melon,37,0.8,0.2,8.6,0.9,7.3
kacang_tanah,544,28.2,53.3,16.2,9.5,4.0
susu_kedelai,53,3.6,1.8,5.6,0.6,3.9
tempe_goreng,194,20.3,11.4,8.4,4.3,1.5
klepon,146,2.2,3.9,27.2,1.5,15.8
anggur,64,0.8,0.2,17.7,0.9,14.1
capcay,94,3.6,3.0,12.2,2.9,4.8
mangga,66,0.9,0.4,13.9,1.5,14.7
mentega,732,0.9,85.5,0.1,0.0,0.1
onde-onde,248,4.1,8.2,34.0,2.2,18.8
soto_ayam,181,15.6,5.7,12.2,1.1,2.2
puding,147,2.9,2.5,25.8,0.5,20.5
yogurt,56,3.4,0.4,10.9,0.0,11.2
melon,34,0.8,0.2,8.8,0.9,8.7
strawberry,30,0.7,0.3,8.2,2.0,5.1
strawberry,30,0.7,0.3,8.0,2.0,4.5
ayam_panggang,169,32.9,3.4,0.0,0.0,0.0
jus_jeruk,48,0.7,0.2,10.4,0.2,8.0
capcay,80,3.7,3.2,12.1,3.1,5.0
ikan_bakar,161,25.2,6.5,0.0,0.0,0.0
sambal_goreng,157,6.2,10.2,9.5,1.9,3.0
jus_apel,43,0.1,0.1,11.9,0.2,9.3
edamame,134,11.5,4.5,10.3,5.4,1.8
burger,319,17.8,13.7,24.1,1.6,3.8
nugget,280,12.4,18.1,21.2,1.2,1.5
susu_kedelai,54,3.4,1.8,6.4,0.6,3.8
mangga,59,0.7,0.4,14.8,1.6,12.8
kentang_goreng,336,3.4,13.7,41.0,3.6,0.3
kacang_hijau,320,22.8,1.2,57.9,15.4,6.7
pastel,278,7.0,15.4,27.7,2.1,2.1
jus_jeruk,46,0.6,0.2,9.6,0.2,8.4
es_krim,224,3.3,10.2,24.3,0.6,23.0
roti_gandum,224,12.1,3.4,41.1,6.4,4.3
kacang_merah,314,23.5,0.9,64.2,15.2,1.9
batagor,181,9.6,9.2,17.7,1.2,2.1
roti_gandum,249,14.1,3.7,44.2,6.8,4.4
sawi,14,1.5,0.2,2.4,1.1,1.1
mentega,771,1.0,75.3,0.1,0.0,0.1
selai,289,0.4,0.1,67.9,1.0,46.7
jagung,103,3.4,1.6,20.9,2.3,5.2
teh,1,0.0,0.0,0.3,0.0,0.0
kacang_merah,302,22.6,1.1,61.3,14.5,2.1
tempe_goreng,200,20.2,11.5,8.3,4.4,1.6
melon,37,0.9,0.2,7.7,0.9,8.4
martabak_telur,321,12.7,15.1,25.9,2.1,2.0
minyak_goreng,939,0.0,101.4,0.0,0.0,0.0
jeruk,44,0.8,0.1,12.2,2.5,8.9
apel,55,0.3,0.2,14.0,2.2,10.2
pastel,276,7.5,14.4,28.8,1.8,2.2
pepaya,47,0.5,0.3,11.2,1.8,8.7
risoles,245,8.4,12.1,21.6,1.6,1.9
kentang,70,2.0,0.1,16.2,2.2,0.8
sayur_asem,67,2.6,1.4,12.8,3.3,4.2
kroket,215,6.7,10.5,17.7,1.7,1.5
kangkung,19,2.7,0.3,2.9,1.9,0.5
nasi_putih,125,2.9,0.3,28.4,0.4,0.1
siomay,158,8.4,6.4,16.1,1.6,2.2
kacang_tanah,594,26.0,51.7,17.6,9.6,4.4
madu,321,0.3,0.0,86.6,0.2,87.9
nugget,271,13.7,18.9,19.6,1.1,1.4
nasi_putih,140,2.9,0.3,27.6,0.4,0.1
roti_tawar,282,8.3,3.5,52.3,2.8,5.3
susu,105,8.7,2.3,12.8,0.0,11.0
susu_kedelai,51,3.2,1.9,6.3,0.5,3.8
ubi_jalar,85,1.5,0.1,21.0,2.8,4.0
mangga,62,0.8,0.4,14.3,1.5,13.0
soto_ayam,151,13.9,6.2,12.1,1.3,1.9
opor_ayam,303,22.3,22.8,5.9,1.1,2.1
kopi,2,0.3,0.0,0.0,0.0,0.0
martabak_manis,385,7.9,16.2,43.2,1.5,25.6
nasi_goreng,308,7.7,11.2,51.1,2.0,2.7
siomay,155,8.6,6.3,14.1,1.6,1.9
kue_lapis,291,5.2,8.1,42.1,1.0,27.1
jagung,92,3.7,1.6,19.1,2.5,5.4
sayur_lodeh,115,4.2,8.2,10.5,2.4,2.8
jeruk,50,1.0,0.1,13.1,2.6,9.1
pecel_lele,287,18.0,19.0,12.4,1.9,1.4
pizza,264,10.6,10.7,34.5,2.3,3.5
coklat,583,4.5,28.8,59.7,6.5,49.4
anggur,63,0.8,0.2,18.6,1.0,15.7
opor_ayam,285,23.3,20.3,6.2,0.9,1.9
pecel_lele,299,17.8,16.6,11.7,1.8,1.6
brokoli,58,3.9,0.7,10.6,3.5,1.8
kangkung,20,2.5,0.3,3.3,2.0,0.5
pecel_lele,305,20.5,19.7,12.3,2.0,1.4
sayur_asem,65,2.4,1.5,11.8,3.1,3.8
anggur,63,0.8,0.2,18.8,0.9,14.3
soto_ayam,183,13.9,6.0,13.2,1.2,2.1
mentega,681,0.9,79.0,0.1,0.0,0.1
bakso,191,18.8,11.0,7.4,0.5,1.8
udang,103,26.4,0.3,0.2,0.0,0.0
pastel,260,6.8,14.9,28.9,1.8,2.2
timun,17,0.6,0.1,3.8,0.5,1.5
roti_tawar,259,8.2,2.9,49.8,2.6,4.9
pempek,233,10.8,8.0,26.8,1.0,3.1
kroket,193,7.2,9.9,18.3,1.6,1.5
jagung,94,3.6,1.6,21.8,2.4,5.2
pepaya,43,0.5,0.3,11.2,1.8,8.4
hotdog,279,10.8,19.4,23.5,1.0,3.7
gula_pasir,404,0.0,0.0,93.1,0.0,96.5
sayur_asem,60,2.5,1.6,13.2,3.2,3.8
opor_ayam,328,22.8,23.6,6.0,1.1,1.8
kepiting,90,20.2,1.3,0.0,0.0,0.0
minuman_bersoda,42,0.0,0.0,10.2,0.0,10.4
daging_sapi,261,25.5,14.3,0.0,0.0,0.0
jagung,91,3.6,1.4,20.4,2.3,5.0
opor_ayam,311,21.9,21.3,5.9,1.1,1.8
pepaya,46,0.5,0.3,10.5,1.8,7.6
burger,314,17.4,14.3,24.5,1.4,4.2
kacang_tanah,620,27.1,46.6,16.4,9.6,3.9
siomay,142,8.7,7.6,15.4,1.4,1.9
gado-gado,203,8.2,11.3,15.5,4.2,5.7
kepiting,97,19.0,1.4,0.0,0.0,0.0
burger,290,16.9,13.9,23.8,1.5,4.3
tumis_kangkung,62,3.0,2.3,5.9,2.4,1.0
klepon,163,2.1,3.9,25.2,1.6,14.0
air_kelapa,20,0.6,0.2,3.6,1.0,2.5
ayam_goreng,226,25.0,15.4,0.0,0.0,0.0
ikan_tuna,136,23.0,4.8,0.0,0.0,0.0
sayur_asem,63,2.4,1.5,13.0,2.8,4.2
udang,99,23.6,0.3,0.2,0.0,0.0
pempek,242,10.6,7.3,27.8,1.1,2.8
mentega,780,0.8,77.3,0.1,0.0,0.1
kacang_tanah,613,25.8,51.1,16.1,9.0,4.1
burger,316,15.6,15.1,23.0,1.5,3.8
daging_sapi,238,27.7,15.6,0.0,0.0,0.0
kue_lapis,240,5.5,8.5,45.5,1.0,26.8
kepiting,87,18.4,1.4,0.0,0.0,0.0
jus_jeruk,42,0.7,0.2,10.4,0.2,7.9
tomat,16,1.0,0.2,3.9,1.2,2.7
brokoli,51,3.4,0.6,11.1,3.9,1.8
roti_gandum,247,12.4,3.2,44.1,7.7,4.4
teh,1,0.0,0.0,0.3,0.0,0.0
pecel_lele,311,20.3,18.0,12.0,1.9,1.6
melon,31,0.8,0.2,8.4,0.9,8.4
daging_kambing,243,26.6,13.8,0.0,0.0,0.0
opor_ayam,292,23.2,19.9,6.4,1.0,1.9
teh,1,0.0,0.0,0.3,0.0,0.0
minyak_goreng,919,0.0,107.3,0.0,0.0,0.0
susu,96,7.7,2.6,11.1,0.0,12.8
sandwich,328,14.1,11.2,38.2,3.1,5.3
mangga,60,0.8,0.4,16.1,1.5,13.2
teh,1,0.0,0.0,0.3,0.0,0.0
opor_ayam,297,26.4,21.3,6.0,1.0,2.0
rendang,446,21.9,41.8,5.2,1.0,2.0
pempek,230,10.1,7.5,30.0,0.9,3.2
keju,390,23.9,34.3,1.4,0.0,0.5
timun,16,0.8,0.1,3.6,0.5,1.8
susu,111,8.7,2.4,11.7,0.0,11.4
jeruk,51,1.0,0.1,11.4,2.5,9.2
jeruk,49,1.0,0.1,11.1,2.3,9.8
yogurt,61,3.6,0.4,11.2,0.0,10.6
edamame,123,11.2,5.1,10.8,4.9,1.8
popcorn,424,13.1,5.1,80.3,15.3,0.8
bakso,195,19.3,10.7,7.8,0.5,2.1
keripik,501,6.5,36.3,45.6,4.3,0.9
minyak_goreng,936,0.0,90.8,0.0,0.0,0.0
tomat,17,0.8,0.2,4.2,1.2,2.5
kroket,200,7.1,10.1,19.4,1.7,1.6
ikan_salmon,216,24.1,12.5,0.0,0.0,0.0
kacang_tanah,595,27.4,47.3,15.7,9.8,4.2
sosis,304,12.7,28.6,2.2,0.0,1.6
nugget,306,11.9,16.3,20.0,1.2,1.6
ayam_goreng,240,24.6,16.5,0.0,0.0,0.0
pepaya,41,0.5,0.3,9.9,1.8,7.3
roti_tawar,248,9.3,3.4,48.8,2.9,4.6
popcorn,366,11.9,4.8,76.4,14.0,0.9
ayam_goreng,255,28.5,15.0,0.0,0.0,0.0
tomat,16,1.0,0.2,3.8,1.1,2.7
jagung,93,3.5,1.5,20.7,2.5,5.0
batagor,200,10.5,9.4,19.3,1.3,1.9
martabak_manis,410,8.5,19.5,52.1,1.5,26.8
es_krim,214,3.7,12.1,26.3,0.7,21.2
edamame,121,11.8,4.5,9.4,4.6,2.0
puding,132,3.0,2.3,25.0,0.5,23.8
sambal_goreng,140,5.6,10.3,8.3,1.9,3.2
kentang_goreng,295,3.3,14.1,37.8,3.8,0.3
sandwich,320,15.6,9.9,35.6,3.0,5.0
opor_ayam,292,26.1,23.1,6.1,1.0,2.1
minyak_goreng,823,0.0,99.1,0.0,0.0,0.0
nasi_goreng,364,7.9,12.1,47.7,2.0,3.2
keripik,522,6.1,33.0,45.9,4.7,1.1
udang,94,24.1,0.3,0.2,0.0,0.0
kentang_goreng,310,3.3,15.6,40.3,3.5,0.3
kentang,73,1.8,0.1,18.4,2.1,0.7
kue_lapis,262,5.0,8.2,46.8,1.1,26.4
sosis,272,13.2,27.9,1.9,0.0,1.4
siomay,166,9.6,6.9,16.0,1.5,1.8
mentega,687,0.8,81.2,0.1,0.0,0.1
roti_gandum,233,12.2,3.3,38.1,6.5,4.1
keju,425,23.3,35.7,1.2,0.0,0.5
siomay,147,9.4,6.6,13.5,1.4,2.2
kentang,79,1.9,0.1,18.0,2.2,0.7
daging_sapi,264,25.5,13.7,0.0,0.0,0.0
hotdog,277,9.6,17.9,22.8,0.9,4.1
roti_tawar,257,9.5,2.9,44.9,2.9,4.5
kue_kering,531,6.1,26.1,59.9,1.9,27.2
nasi_putih,118,2.7,0.3,29.9,0.4,0.1
keju,428,26.4,31.5,1.3,0.0,0.5
ayam_panggang,166,31.6,3.8,0.0,0.0,0.0
kopi,2,0.3,0.0,0.0,0.0,0.0
kue_lapis,260,5.3,8.2,43.1,0.9,25.9
lumpia,181,5.7,8.5,20.8,2.1,2.8
cumi-cumi,87,15.5,1.4,3.3,0.0,0.0
pastel,288,7.7,16.5,27.7,1.9,2.0
sosis,276,13.7,28.3,2.0,0.0,1.6
pisang,86,1.1,0.3,24.8,2.6,13.1
madu,296,0.3,0.0,81.6,0.2,74.2
jus_jeruk,49,0.6,0.2,10.1,0.2,7.5
rendang,491,24.1,42.7,5.1,0.9,2.1
bakso,208,17.7,10.2,7.2,0.5,2.1
kacang_merah,361,22.9,1.0,63.2,15.2,2.0
keripik,583,5.9,34.8,53.6,4.7,1.0
kacang_merah,324,23.7,0.9,62.0,15.6,1.9
klepon,142,2.1,3.8,28.7,1.6,13.8
nugget,309,12.1,17.4,19.5,1.2,1.6
lumpia,170,5.8,8.1,21.5,1.9,3.1
ikan_bakar,182,25.5,6.9,0.0,0.0,0.0
kue_kering,499,6.3,25.8,69.1,2.0,29.8
lemper,182,4.9,7.2,28.1,1.1,1.1
timun,17,0.6,0.1,4.0,0.5,1.9
keju,371,23.9,29.7,1.3,0.0,0.5
roti_tawar,283,8.2,3.2,47.3,2.6,5.1
